text,label,source,source_url,author,label_reason
"To completely disable the onboard WiFi from the firmware on the Pi3 / Pi4, add dtoverlay=disable-wifi in /boot/firmware/config.txt in newer installs (or /boot/config.txt in older versions). This is documented here . Please be sure to use an up to date firmware, this feature was added in January 2017 . There is also an overlay for disabling onboard bluetooth : disable-bt . If you want to disable both wifi and bluetooth, you need to add these 2 lines : dtoverlay=disable-wifi dtoverlay=disable-bt NOTE : If you are using an old 'Pi3 only' firmware, you need to prefix the overlay name with pi3- . See this issue",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/62522,Ludovic Ronsin,Answer post with technical guidance or troubleshooting steps.
"You definitely don't want to just pull the plug. This can cause problems with the SD card and file system. From the command line When using the command line or a terminal window, you can enter the following to do a clean shutdown: sudo shutdown -h now From the LXDE GUI Click the shutdown button (red power button) in the menu bar at the bottom right corner of the screen. Click shutdown (or ""logout"" as shown on newer versions, then issue the shutdown command listed above). Once it says System halted , you can remove the power cord if needed.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/383,Steve Robillard,Answer post with technical guidance or troubleshooting steps.
"Use: cat /etc/apt/sources.list.d/raspi.list If the file exists, you are using Raspberry Pi OS. An example of the content: deb http://archive.raspberrypi.com/debian/ bookworm main # Uncomment line below then 'apt-get update' to enable 'apt-get source' #deb-src http://archive.raspberrypi.com/debian/ bookworm main Before Debian 11 (bullseye) Open Terminal and type: cat /etc/os-release This results in the following output on my Raspberry Pi 2... PRETTY_NAME=""Raspbian GNU/Linux 8 (jessie)"" NAME=""Raspbian GNU/Linux"" VERSION_ID=""8"" VERSION=""8 (jessie)"" ID=raspbian ID_LIKE=debian HOME_URL=""http://www.raspbian.org/"" SUPPORT_URL=""http://www.raspbian.org/RaspbianForums"" BUG_REPORT_URL=""http://www.raspbian.org/RaspbianBugs""",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/40826,w5m,Answer post with technical guidance or troubleshooting steps.
"Raspbian uses dphys-swapfile , which is a swap-file based solution instead of the ""standard"" swap-partition based solution. It is much easier to change the size of the swap. The configuration file is: /etc/dphys-swapfile The content is very simple. By default my Raspbian has 100MB of swap: CONF_SWAPSIZE=100 If you want to change the size, you need to modify the number and restart dphys-swapfile: /etc/init.d/dphys-swapfile restart Edit: On Raspbian the default location is /var/swap, which is (of course) located on the SD card. I think it is a bad idea, so I would like to point out, that the /etc/dphys-swapfile can have the following option too: CONF_SWAPFILE=/media/btsync/swapfile I only problem with it, the usb storage is automounted, so a potential race here (automount vs. swapon)",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/1605,asalamon74,Answer post with technical guidance or troubleshooting steps.
"If you are running Linux then you can use the dd command to make a full backup of the image: dd if=/dev/sdx of=/path/to/image or for compression: dd if=/dev/sdx | gzip > /path/to/image.gz Where sdx is your SD card. To restore the backup, you reverse the commands: dd if=/path/to/image of=/dev/sdx or when compressed: gzip -dc /path/to/image.gz | dd of=/dev/sdx",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/312,Jivings,Answer post with technical guidance or troubleshooting steps.
"You can't install Google Chrome, but you can install Chromium. As other people have posted, Chromium is the code base out of which Google Chrome is compiled. Chromium is an open-source version of this browser. Simply type the following. Debian $ sudo apt-get install chromium-browser If you receive any errors running this command, try running $ sudo apt-get update and then rerun the first command again. Arch $ sudo pacman -S chromium",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/523,Tass,Answer post with technical guidance or troubleshooting steps.
"All raspberry devices MAC addresses started with B8:27:EB (for RPi4 B they start with dc:a6:32 , replace where appropriate). So, on * nix systems, this can be accomplished by executing the following command: nmap -sP 192.168.1.0/24 | awk '/^Nmap/{ip=$NF}/B8:27:EB/{print ip}' where 192.168.1.* will be your local network mask. You will get an answer like: Nmap scan report for raspberrypi.localnetwork.lan (192.168.1.179) The 192.168.1.179 is the Raspberry Pi IP address on you network. If you are on a Mac system you can use Homebrew to install nmap : brew install nmap On Windows , you might use Wireshark and use the following display filter: eth.addr[0:3] == B8:27:EB",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/13937,J. Costa,Answer post with technical guidance or troubleshooting steps.
All you need is to place an empty file named 'ssh' onto the boot (FAT) partition of your SD card (no need to mount ext3). Tested with 2016-11-25-raspbian-jessie-lite.img. Source: https://www.raspberrypi.org/documentation/remote-access/ssh/ More info about Nov '16 security update: https://www.raspberrypi.org/blog/a-security-update-for-raspbian-pixel/,evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/58628,Yahor,Answer post with technical guidance or troubleshooting steps.
"Add these two lines to /boot/firmware/config.txt and reboot Raspbmc: hdmi_force_hotplug=1 hdmi_drive=2 hdmi_force_hotplug=1 sets the Raspbmc to use HDMI mode even if no HDMI monitor is detected. hdmi_drive=2 sets the Raspbmc to normal HDMI mode (Sound will be sent if supported and enabled). Without this line, the Raspbmc would switch to DVI (with no audio) mode by default.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/2171,Dennis Williamson,Answer post with technical guidance or troubleshooting steps.
"That's the new undervoltage symbol. Your Pi's power supply is marginal or insufficient for its requirements. From the raspberrypi.org blog page : Finally on the subject of icons, in the past if your Pi was working particularly hard, you might have noticed some yellow and red squares appearing in the top-right corner of the screen, which were indications of overtemperature or undervoltage. These have now been replaced with some new symbols that make it a bit more obvious what’s actually happening; there’s a lightning bolt for undervoltage, and a thermometer for overtemperature.",evidence_based_guidance,Raspberry Pi Stack Exchange answer,https://raspberrypi.stackexchange.com/a/57965,goobering,Answer post with technical guidance or troubleshooting steps.
